Reference, Quantity, Value, Footprint, Datasheet
D1 ,1,"LED_Red","LED_THT:LED_D5.0mm","~"
D8 D9 D10 D11 D12 D13 D14 ,7,"LED","LED_THT:LED_D3.0mm","~"
D2 ,1,"LED_Yellow","LED_THT:LED_D5.0mm","~"
D3 ,1,"LED_Blue","LED_THT:LED_D5.0mm","~"
D4 ,1,"LED_Green","LED_THT:LED_D5.0mm","~"
D5 D6 D7 ,3,"1N5820G","Diode_THT:D_DO-201AD_P15.24mm_Horizontal","~"
F1 ,1,"3557-10","footprints:3557-10",""
J1 ,1,"ECU CAN INPUT","Connector_IDC:IDC-Header_2x20_P2.54mm_Vertical","~"
J10 ,1,"Speaker_Switch","Connector_Phoenix_MC:PhoenixContact_MC_1,5_2-G-3.81_1x02_P3.81mm_Horizontal","~"
J11a1 ,1,"Speaker_Relay_Control","Connector_Phoenix_MC:PhoenixContact_MC_1,5_2-G-3.81_1x02_P3.81mm_Horizontal","~"
J11b1 ,1,"Speaker_Relay_Power","Connector_Phoenix_MC:PhoenixContact_MC_1,5_2-G-3.81_1x02_P3.81mm_Horizontal","~"
J11c1 ,1,"Speaker","Connector_Phoenix_MC:PhoenixContact_MC_1,5_2-G-3.81_1x02_P3.81mm_Horizontal","~"
J12 J13 ,2,"12V","Connector_Phoenix_MC:PhoenixContact_MC_1,5_2-G-3.81_1x02_P3.81mm_Horizontal","~"
J14 J15 ,2,"GND","Connector_Phoenix_MC:PhoenixContact_MC_1,5_2-G-3.81_1x02_P3.81mm_Horizontal","~"
J16 ,1,"Star_Motor_Light","Connector_Phoenix_MC:PhoenixContact_MC_1,5_2-G-3.81_1x02_P3.81mm_Horizontal","~"
J17 ,1,"Injector","Connector_Phoenix_MC:PhoenixContact_MC_1,5_2-G-3.81_1x02_P3.81mm_Horizontal","~"
J18 ,1,"TPS","Connector_Phoenix_MC:PhoenixContact_MC_1,5_3-G-3.81_1x03_P3.81mm_Horizontal","~"
J19 ,1,"Temperature Sensors","Connector_Phoenix_MC:PhoenixContact_MC_1,5_2-G-3.81_1x02_P3.81mm_Horizontal","~"
J2 ,1,"Battery_input","Connector_Phoenix_MC:PhoenixContact_MC_1,5_2-G-3.81_1x02_P3.81mm_Horizontal","~"
J20 ,1,"O2 Sensors","Connector_Phoenix_MC:PhoenixContact_MC_1,5_2-G-3.81_1x02_P3.81mm_Horizontal","~"
J21 ,1,"Inlet Air Temperature","Connector_Phoenix_MC:PhoenixContact_MC_1,5_2-G-3.81_1x02_P3.81mm_Horizontal","~"
J22 ,1,"MAP Sensor","Connector_Phoenix_MC:PhoenixContact_MC_1,5_3-G-3.81_1x03_P3.81mm_Horizontal","~"
J23 ,1,"Crank sensor","Connector_Phoenix_MC:PhoenixContact_MC_1,5_3-G-3.81_1x03_P3.81mm_Horizontal","~"
J24 ,1,"Camshaft Sensor","Connector_Phoenix_MC:PhoenixContact_MC_1,5_3-G-3.81_1x03_P3.81mm_Horizontal","~"
J25_1 ,1,"Ignition1.1","Connector_Phoenix_MC:PhoenixContact_MC_1,5_3-G-3.81_1x03_P3.81mm_Horizontal","~"
J25_2 ,1,"Ignition1.2","Connector_Phoenix_MC:PhoenixContact_MC_1,5_3-G-3.81_1x03_P3.81mm_Horizontal","~"
J26 ,1,"ECU CAN OUTPUT","Connector_IDC:IDC-Header_2x20_P2.54mm_Vertical","~"
J3 ,1,"Stop_Switch1","Connector_Phoenix_MC:PhoenixContact_MC_1,5_2-G-3.81_1x02_P3.81mm_Horizontal","~"
J4 ,1,"Stop_Switch2","Connector_Phoenix_MC:PhoenixContact_MC_1,5_2-G-3.81_1x02_P3.81mm_Horizontal","~"
J5 ,1,"Driver_Switch","Connector_Phoenix_MC:PhoenixContact_MC_1,5_2-G-3.81_1x02_P3.81mm_Horizontal","~"
J6 ,1,"ECU_Switch","Connector_Phoenix_MC:PhoenixContact_MC_1,5_2-G-3.81_1x02_P3.81mm_Horizontal","~"
J7a1 ,1,"ECU_Relay_Control","Connector_Phoenix_MC:PhoenixContact_MC_1,5_2-G-3.81_1x02_P3.81mm_Horizontal","~"
J7b1 ,1,"ECU_Relay_Power","Connector_Phoenix_MC:PhoenixContact_MC_1,5_2-G-3.81_1x02_P3.81mm_Horizontal","~"
J7c1 ,1,"ECU_Power","Connector_Phoenix_MC:PhoenixContact_MC_1,5_2-G-3.81_1x02_P3.81mm_Horizontal","~"
J8 ,1,"Star_Motor_Switch","Connector_Phoenix_MC:PhoenixContact_MC_1,5_2-G-3.81_1x02_P3.81mm_Horizontal","~"
J9 ,1,"Star_Motor_Relay_Control","Connector_Phoenix_MC:PhoenixContact_MC_1,5_2-G-3.81_1x02_P3.81mm_Horizontal","~"
R1 R2 R3 R4 R5 R6 R7 R8 R9 R10 R11 ,11,"1K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
R12 R13 ,2,"2.2K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"